model,times_slower
comprehension_guards,NA
comprehension_guards,1.701111111111111
comprehension_guards,2.022207707380797
comprehension_guards,1.8989018087855296
comprehension_guards,1.7176390542609288
comprehension_guards,1.5457516339869282
comprehension_guards,1.4971490806585943
comprehension_guards,1.468269930249476
forall,NA
forall,3.0009460737937554
forall,2.6355611601513242
forall,2.04366028708134
forall,0.47456833479660515
forall,1.6344351258016776
forall,1.5676124358587382
forall,1.414123423510157
guards_in_return_expression,NA
guards_in_return_expression,6.174273858921161
guards_in_return_expression,9.152073732718893
guards_in_return_expression,5.185433450822424
guards_in_return_expression,3.819747247211809
guards_in_return_expression,3.8747615410933154
